hour,location,weather_condition,congestion_level
20,BTM Layout,storm,Severe
23,Koramangala,clear,Low
9,Bellandur,rain,Moderate
21,Bellandur,rain,Moderate
7,BTM Layout,clear,Moderate
8,BTM Layout,clear,Moderate
12,Koramangala,rain,Low
8,BTM Layout,clear,Moderate
0,Bellandur,clear,Low
17,Bellandur,clear,Low
10,Electronic City,flood_alert,High
19,Koramangala,clear,Moderate
4,HSR Layout,clear,Low
5,BTM Layout,clear,Low
17,Koramangala,flood_alert,Severe
16,Koramangala,clear,Low
12,Bellandur,rain,Moderate
14,Electronic City,clear,Low
20,Electronic City,rain,Moderate
21,BTM Layout,clear,Low
21,Koramangala,rain,Moderate
23,Electronic City,clear,Low
7,Electronic City,rain,High
19,HSR Layout,clear,Moderate
6,Koramangala,clear,Low
20,HSR Layout,clear,Moderate
22,Koramangala,clear,Moderate
10,BTM Layout,clear,Low
12,Bellandur,clear,Moderate
2,HSR Layout,clear,Low
2,BTM Layout,clear,Low
4,Bellandur,storm,High
1,Electronic City,clear,Low
9,Koramangala,clear,Low
23,Electronic City,rain,Low
16,BTM Layout,storm,High
13,Koramangala,rain,Low
17,Koramangala,clear,Moderate
1,BTM Layout,clear,Low
15,BTM Layout,clear,Low
12,BTM Layout,rain,Moderate
2,Bellandur,clear,Low
12,Koramangala,clear,Low
15,Bellandur,clear,Low
10,BTM Layout,storm,Moderate
22,Koramangala,clear,Low
22,Electronic City,rain,Moderate
8,HSR Layout,rain,High
22,Bellandur,clear,Moderate
5,Koramangala,rain,Moderate
2,Electronic City,clear,Low
15,HSR Layout,clear,Low
3,HSR Layout,clear,Low
7,BTM Layout,clear,Low
9,HSR Layout,rain,High
16,Electronic City,clear,Low
20,BTM Layout,clear,Moderate
21,Electronic City,clear,Low
14,Koramangala,storm,Moderate
23,BTM Layout,clear,Low
17,Bellandur,clear,Moderate
20,Bellandur,rain,Moderate
13,Bellandur,storm,High
2,HSR Layout,rain,Moderate
5,HSR Layout,clear,Low
9,HSR Layout,clear,Moderate
19,BTM Layout,clear,Moderate
9,Koramangala,flood_alert,Severe
0,BTM Layout,rain,Low
10,BTM Layout,clear,Low
16,HSR Layout,storm,High
23,Koramangala,clear,Low
4,Koramangala,clear,Low
7,HSR Layout,rain,High
11,Electronic City,flood_alert,High
11,Koramangala,clear,Low
23,Electronic City,clear,Low
9,Electronic City,clear,Moderate
12,Electronic City,rain,Low
6,BTM Layout,clear,Low
1,Bellandur,rain,Low
9,Bellandur,rain,Moderate
10,Koramangala,clear,Moderate
4,BTM Layout,storm,High
15,Bellandur,clear,Low
7,Electronic City,rain,High
1,HSR Layout,clear,Low
12,Koramangala,clear,Low
6,Bellandur,clear,Low
17,Koramangala,clear,Moderate
0,Koramangala,clear,Low
18,Bellandur,clear,Moderate
12,HSR Layout,clear,Low
17,BTM Layout,clear,Moderate
9,Koramangala,clear,Moderate
21,BTM Layout,rain,Low
12,HSR Layout,flood_alert,High
23,BTM Layout,clear,Low
7,Bellandur,storm,High
20,Electronic City,rain,Moderate
15,BTM Layout,clear,Low
22,Electronic City,clear,Low
4,BTM Layout,storm,Moderate
12,HSR Layout,clear,Low
21,Electronic City,clear,Low
5,Koramangala,rain,Low
23,Electronic City,rain,Low
23,Bellandur,storm,Moderate
11,BTM Layout,clear,Low
17,HSR Layout,clear,Moderate
11,Electronic City,clear,Low
15,BTM Layout,clear,Low
20,Bellandur,rain,Severe
17,Bellandur,flood_alert,Severe
6,BTM Layout,clear,Low
13,HSR Layout,clear,Low
19,Koramangala,clear,Moderate
13,HSR Layout,clear,Low
6,Bellandur,rain,Low
18,Koramangala,flood_alert,Severe
17,Electronic City,clear,High
15,Electronic City,rain,Moderate
8,Bellandur,storm,High
13,BTM Layout,clear,Low
14,Bellandur,storm,Moderate
5,Bellandur,rain,Moderate
22,BTM Layout,rain,Moderate
14,Koramangala,clear,Low
1,Koramangala,clear,Low
6,HSR Layout,clear,Low
19,Electronic City,storm,Severe
16,BTM Layout,storm,High
13,HSR Layout,clear,Low
11,Electronic City,clear,Low
9,Koramangala,clear,Moderate
22,Electronic City,rain,Low
8,HSR Layout,rain,Moderate
19,HSR Layout,flood_alert,Severe
1,Koramangala,rain,Moderate
12,Electronic City,clear,Low
6,Electronic City,clear,Low
10,BTM Layout,rain,Low
14,HSR Layout,storm,High
1,BTM Layout,clear,Low
2,Koramangala,clear,Low
13,BTM Layout,clear,Low
16,Bellandur,clear,Low
1,Electronic City,clear,Low
23,BTM Layout,clear,Low
10,Koramangala,clear,Low
23,BTM Layout,clear,Low
3,Koramangala,storm,High
21,Koramangala,flood_alert,Moderate
15,Koramangala,clear,Low
19,Koramangala,rain,High
19,Bellandur,rain,Moderate
4,Electronic City,clear,Low
4,Bellandur,clear,Low
23,HSR Layout,clear,Low
10,BTM Layout,clear,Low
4,HSR Layout,clear,Low
